Src_MAC,Dest_MAC,Time,Len
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957529.131907,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957529.132471,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957529.132477,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957529.133114,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957529.133120,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.133749,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.133755,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.134369,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.134375,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.134930,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.134936,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.135553,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.135559,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957529.136220,440
28:6d:97:77:cf:e8,01:00:5e:00:00:fb,1646957529.923658,32
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.344428,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.354903,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.375991,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.386554,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.407688,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957530.418150,72
28:6d:97:77:cf:e8,01:00:5e:7f:ff:fa,1646957530.723658,32
60:32:b1:64:50:6e,01:00:5e:7f:ff:fa,1646957530.735496,32
60:32:b1:64:50:6d,01:00:5e:00:00:16,1646957530.805612,32
28:6d:97:77:cf:e8,33:33:00:00:00:16,1646957533.043638,0
60:32:b1:64:50:6e,01:00:5e:7f:ff:fa,1646957533.475400,32
60:32:b1:64:50:6e,01:00:5e:7f:ff:fa,1646957534.305380,32
60:32:b1:64:50:6d,01:00:5e:00:00:02,1646957536.065539,32
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957556.695727,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.130910,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.130924,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.131417,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.131424,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.132080,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.132086,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.132674,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.132680,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957559.133280,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.133286,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.133887,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.133893,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.134441,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.134447,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.135074,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.135079,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.135746,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957559.135752,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957560.536363,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957560.546815,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957586.936269,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.131310,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.131323,417
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.131787,480
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.131794,476
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.132210,456
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.132779,488
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.132785,470
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.133408,472
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957589.133414,472
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.134034,376
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.134040,385
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.134706,448
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.134712,444
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.136168,424
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.136174,456
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.136755,438
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.136761,440
60:32:b1:64:50:6d,33:33:00:00:00:0c,1646957589.137351,440
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.656598,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.672782,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.693844,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.704313,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.725494,72
60:32:b1:64:50:6d,01:00:5e:00:00:fb,1646957590.735962,72
60:32:b1:64:50:6d,ff:ff:ff:ff:ff:ff,1646957617.175984,354
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957619.131763,408
60:32:b1:64:50:6d,01:00:5e:7f:ff:fa,1646957619.131776,417
